GRUPO DE ENTRENAMIENTO,DIAS DE LA SEMANA,HORARIO DE ENTRENAMIENTO
ANGEL,lunes y miercoles,17:30 - 19:00
IRENE L-X,lunes y miercoles,17:30 - 18:30
MAURICIO L-X,lunes y miercoles,17:30 - 18:30
PACO,lunes y miercoles,17:30 - 19:00
IRENE M-J,martes y jueves,17:30 - 19:00
KATY,martes y jueves,17:00 - 18:30
MAURICIO M-J,martes y jueves,17:00 - 18:30
SANTAMARIA,martes y jueves,17:30 - 19:00
WALTER,martes y jueves,17:30 - 19:00
,,
DESDE SUB 14 (INFANTIL) TODOS TIENEN LA OPCIÓN DE COGER LOS VIERNES COMO DÍA EXTRA,,
