GRUPO DE ENTRENAMIENTO,DIAS DE LA SEMANA,HORARIO DE ENTRENAMIENTO
AGUSTINA L-X ,lunes y miercoles,17:30 - 18:30
ALVARO 17:00,martes y jueves,17:00 - 18:30
ALVARO L-X,lunes y miercoles,17:30 - 19:00
ALVARO-FONDO M-J,"martes, jueves y viernes",M -J 19:00-20:30 y V 17:30-19:00
ALVARO-PROMOCION,martes y jueves,18:00 - 19:30
ALVARO-VELOCIDAD L-X,"lunes, miercoles y viernes",L -X 19:00-20:30 y V 17:30-19:00
ANA L-X,lunes y miercoles,17:30 - 19:00
ANA M-J,martes y jueves,18:00 - 19:00
ANAIS,martes y jueves,18:00 - 19:00
ANGEL 17:00,martes y jueves,17:00 - 18:15
ANGEL 18:00,martes y jueves,18:00 - 19:30
DAVID L-X,lunes y miercoles,17:30 - 19:00
DAVID-LANZAMIENTOS,"martes, jueves y viernes",M -J 19:00-20:30 y V 18:00-19:30
DAVID-PROMOCION,martes y jueves,18:00 - 19:30
JAVI-FONDO,"lunes, martes y jueves","L 18:00- 19:30, M y J 19:00 - 20:30"
JAVI-VELOCIDAD,"lunes, martes y miercoles",19:00 - 20:30
JESUS,"martes, jueves y viernes",M-J 18:00 - 19:30 y V 17:30-19:00
JESUS-COMBINADAS,"lunes, miercoles y jueves","L -X 17:45- 19:15, J 19:15 - 20:45"
JOSE-SALTOS,"lunes, martes y jueves",19:00 - 20:30
JULIAN L-X,lunes y miercoles,17:30 - 18:30
JULIAN M-J,martes y jueves,18:00 - 19:30
LAURA,"martes, jueves y viernes",M-J 18:00 - 19:30 y V 17:30-19:00
LAURA L-X,lunes y miercoles,17:30 - 19:00
LORENA,lunes y miercoles,17:30 - 18:30
NOELIA 17:00,martes y jueves,17:00 - 18:30
NOELIA 18:00,martes y jueves,18:00 - 19:30
PACO,martes y jueves,18:00 - 19:30
SANDRA L-X,lunes y miercoles,17:30 - 19:00
SANDRA M-J,martes y jueves,18:00 - 19:30
WALTER L-X,lunes y miercoles,17:30 - 19:00
,,
Desde sub 12 (Alevin) tienen opción de día extra los viernes a las 17:30,,
,,
"TIENE QUE HABER UNA OPCIÓN QUE SEA ""SIN ENTRENADOR""",,
